example_id,context,description,category,confidence,reviewer_notes
L22-0094, will deeply examine the process used by Expeditionary Learning [ to]  design the grades 3-8 ELA Curriculum,,,,
L22-0095," Montreal film museum

People 
 CQ (play [wright] ) or C. Quintana, a Cuban-American",,,,
L22-0096," concert tickets to go on sale is someone who is [ excited]  and full of energy.
- Anxiously",,,,
L22-0097, to the income poverty. The non-income poverty [ is]  represented mainly by achievements in education and health. The,,,,
L22-0098," Weekly described it as ""folk-rock laced with [ ban] jos, accordions, and pedal steel"" and",,,,
L22-0099," or converted into a new material that is denser than [ the]  original.

Examples

Nuclear weapons
In an",,,,
L22-0100," exists and is most common, but the existence of [ the]  former sentence type requires explanation. In reality, we",,,,
L22-0101," site was not without controversy because of its associations with [ the]  Siege of the Alcázar, an episode in",,,,
L22-0102," Marathi instead. This region is famous for banana agriculture [ and]  is a leading producer of it.

Geography ",,,,
L22-0103,"417 billion snapshots of web sites, including [ one]  page showing that “Igor Girkin, a",,,,
L22-0104,"<bos>""The 19 [2] 4 Liverpool West Toxteth by-election was",,,,
L22-0105," on TV, allows us to predict the weather, [ the]  behavior of the stock market, and the outcome of",,,,
L22-0106," cavalry action. Besides, it was the place where [ the]  Christian envoys came from who were likely to switch",,,,
L22-0107,".
As technologies advance and new programming concepts are [ launched] , software architects must be able to keep abreast with",,,,
L22-0108,"
These days, artificial intelligence is used fairly widely [ in]  the UK medical industry in order to treat and diagnose",,,,
L22-0109,28 ft). The area surrounding the falls are [ popular]  with tourists who typically view the falls by boat.,,,,
L22-0110,", the Kansas chalk rock that inspired our famous chant [ has]  created something else: a seabed of prehistoric marine fossils",,,,
L22-0111,air story was a report on the new carts that [ transported]  people around the airport. In December 19,,,,
L22-0112," Account of a visit to the Xe Bang Fai [ cave]  in 2014 
 Account of",,,,
L22-0113," its derivatives include fisheries, marine products, forestry and [ primary]  forestry products"" (Article I, Functions of the",,,,
L22-0114," deceit, pride or sloth, willpower or the lack [ of]  it, conservatism or wastefulness all play a part",,,,
L22-0115," Analysis Service (part of Public Health England), on [ request]  through the Office for Data Release, November 2",,,,
L22-0116," in the infographic below, and share individual story sections [ by]  clicking on the embed icon in the upper right-",,,,
L22-0117," www.AdaptiveNOW.com) for his hard [ work]  to create this artfully designed documentary series.
",,,,
L22-0118,"85).

Villages
Apart from the [ town]  of Kałuszyn, Gmina Kał",,,,
L22-0119, the pollen from a lily or the water in the [ lily] ’s vase can be poisonous for cats. Eating,,,,
L22-0120, teen birth rate in Indiana declined 64% [ between]  1991 and 201,,,,
L22-0121," archeological material is within the top ten
cent [imeters]  of the soil. The damage from the proposed construction",,,,
L22-0122,", Erycius Puteanus. Intending to [ study]  with Tycho Brahe Wendelen set off for Prague",,,,
L22-0123,"ig (46), starting his experiments as an [ army]  doctor during the Franco-Prussian war, noted",,,,
L22-0124, one of the few examples of a child star who [ went]  on to have a successful career as an adult.,,,,
L22-0125," add quick knock-down capabilities. You must carefully [ follow]  the instructions for whatever you purchase.
Pure Form",,,,
L22-0126," dressings, sprays, creams, catheters, or surface [ coatings] .
As the first product, we developed advanced",,,,
L22-0127, Rhonda Fleming and Lloyd Bridges. Adapted from Ernest Hay [cox] 's 1941 novel Trail Town,,,,
L22-0128," about 750 boys and girls, the [ majority]  of whom are Catholic but the school is attended by",,,,
L22-0129," to maintain information on special procedures in a comprehensive and [ easily]  accessible manner, including through the use of modern information",,,,
L22-0130, astronomical observatories; mountain stations for solar observation; [ and]  stations for optical tracking of artificial earth satellites. Many,,,,
L22-0131,Played Nombuso) was accused of having a [ bad]  attitude at work and was fired from Uzalo.,,,,
L22-0132," began a seemingly unstoppable warming trend, which is growing [ steadily]  and which is threatening the existence of all life on",,,,
L22-0133, and the state of Alabama categorizes them as game [ animals]  and fur bearers. Some in the state consider them,,,,
L22-0134," cutting, and good old fashioned cardboard to go from [ ideas]  to parts as fast as possible.
The class",,,,
L22-0135," the trained musicians is a compilation of parts of three [ found]  in the Book of Psalms, and its three movements",,,,
L22-0136,"ate, worsen, as in Ever since the recession [ began] , the business has been going downhill. The figurative",,,,
L22-0137,ivar and miranda took the field beneath the banner [ of]  independence.,,,,
L22-0138," predictors of educational outcomes.
The theory was that [ students]  who are able to stay focused and pay attention longer",,,,
L22-0139," a lot of water.""
Harnessing wave [ energy]  isn't a new idea. But most efforts",,,,
L22-0140," precisely match federal ridings, resulting in 2 [7]  fewer seats in the legislature. Notably, in a",,,,
L22-0141, for its white and African American populations). Usually cultural [ frameworks]  are mixed; as certain individuals or entire groups can,,,,
L22-0142," books. Due to Elias' role in the scriptures [ and]  to many later associated traditions, the name is used",,,,
L22-0143,"
Boxers at the 1998 [ Asian]  Games
Asian Games bronze medalists for South Korea",,,,
L22-0144," over 25,000 copies in [ Greece]  and was certified Gold.

Track listing 
",,,,
L22-0145,"-linked Yasukuni Shrine in Tokyo, urging [ Japan]  to face up to historical facts.
""It",,,,
L22-0146, Badminton Championships is a tournament organized to crown the best [ badminton]  players in Moldova. They are held since 1,,,,
L22-0147," deep burning fires can be expected with an emphasis on [ down] wind new fires occuring.
The highest spots are",,,,
L22-0148," have seen positive results using horticultural oils. These oils [ basically]  suffocate the insect. As always, there are",,,,
L22-0149,"man, Republican incumbent nominee
Bob Springmeyer, [ Democratic]  nominee

Utah
Gubernatorial
20",,,,
L22-0150," be checked on a regular basis.
Medicines [ used]  most often to
treat schizophrenia include:
-",,,,
L22-0151,".
You don’t have to search for [ hours]  at your university for a book/journal. All",,,,
L22-0152," June 1559 it was destroyed, [ either]  by the Reformers or the magistrates.

Notes",,,,
L22-0153,","" she said, ""and they are cheaper and [ easier]  to have than nuclear weapons.""",,,,
L22-0154, memory cue for children. It also uses colour- [coding]  to highlight the grapheme when teaching a new grap,,,,
L22-0155," the Association's deputy director, and contributed greatly [ to]  its activities. The Association'",,,,
L22-0156,"."" Much of her poetry and prose during those times [ is]  dedicated to the life and resistance of Soviet citizens.",,,,
L22-0157," interesting interpretation of the Mission style that incorporates Pueblo Revival [ elements] .""  It was built in 193",,,,
L22-0158," the brand name ""Djuice"", citing the need [ to]  unify all of its brands.

References 

",,,,
L22-0159,"This predicament makes it look as if cannabis preceded the [ psychotic]  symptoms when, in fact...folks with worse",,,,
L22-0160,", in recent years the lighting has begun sooner to [ accommodate]  the increase in tourism. All recreational parks and all",,,,
L22-0161,). In order to perform this asana a person [ lies]  down quietly on a flat surface on his/her,,,,
L22-0162," much like CorningWare cookware, but that is where [ the]  comparison ends. Ceramic materials that go into a Brake",,,,
L22-0163,s faces leave digital footprints that can be used to [ extract]  intimate information about people and their psycho-demographic,,,,
L22-0164,". However, its underpinnings can be traced [ to]  the mid-19th century, when measures",,,,
L22-0165," Commission), which consists of:

 The Archb [ishops]  of Canterbury and York (in the event of a",,,,
L22-0166,istra) by the Mongol allies of Michael VIII. [ In]  the interval a Byzantine force besieged the Bulgarian capital Tarn,,,,
L22-0167," the same. Yet we often believe that we are [ different]  enough to discriminate against each other.
Our leaf",,,,
L22-0168,It has long been known that the rock was extracted [ eight]  miles away in Tura and that granite used in,,,,
L22-0169,"s pigs. This affair settled, Muriwai [ conducted]  Marsden to Utakura, which was then his principal",,,,
L22-0170, The idea here is that the subtle vibrations associated with [ the]  repeated mantra can encourage positive change — maybe a boost,,,,
L22-0171," and has since closed a large number of heavily polluting [ small]  coal-fired power plants, small coal mines and",,,,
L22-0172," in 76 families.

The villagers are [ engaged]  in animal husbandry, agriculture and horticulture, and its",,,,
L22-0173,"
 Turnaround, the process of or time needed [ for]  loading, unloading, and servicing an aircraft, see",,,,
L22-0174,"efs/STRefs for example).
> [ One]  way to avoid that is for the leaves to refer",,,,
L22-0175,"85 until 1987 before continuing [ his]  research at IRCAM, and since 19",,,,
L22-0176," move to Oakville, Ontario, to coach at [ the]  Skate Oakville Skating Club with wife, Meagan",,,,
L22-0177," time of the Achaemenid Persian Empire, [ followed]  successively by the Maurya Empire, the Indo-",,,,
L22-0178," In Clean New gold Extraction Method
Scientists accidentally discover [ a]  new way to isolate gold that is much safer than",,,,
L22-0179," also help develop devices which have memory and central processing [ units]  merged into a single chip,"" he said.
",,,,
L22-0180,"In some areas, well water might be found very [ deep]  down under the ground. This is especially true in",,,,
L22-0181," to find significance for several hypotheses even with a small [ sample] .
The only significant predictors of attitudes towards the",,,,
L22-0182," through the Fraser Canyon.

Like many provincial policemen [ of]  the era, Pinchbeck had to fulfill a variety",,,,
L22-0183," Philippines
Dendrolycosa putiana (Barr [ion]  & Litsinger, 1995",,,,
L22-0184," virtual presentation on Animals of the Night! From bats [ to]  fireflies, frogs and more, learn about the",,,,
L22-0185," distorted guitars and keyboard sounds.

Composition
Shortly [ before]  the release of Transient Random-Noise Bursts,",,,,
L22-0186," the foremost intellectuals in the Afro-Asian anticol [onial]  movement, was a leader of the Indonesian nationalist movement",,,,
L22-0187," forget my fate""
The libretto for this [ opera]  is based on:
The Aeneid .",,,,
L22-0188," marginalised, stigmatised and shunned as a result [ of]  their job. Many have worked on the frontline of",,,,
L22-0189, law that is separate from the meaning used in other [ fields] . It is the most common term used in laws,,,,
L22-0190," use specially designed solar filters, which bear the appropriate [ CE]  mark.
It is not safe to view it",,,,
L22-0191, phenomenon in which neutralizing antibodies against one DENV ser [otype]  can exacerbate disease upon subsequent illness with another serotype,,,,
L22-0192," Farewell, My Friend) about a girl's [ return]  to her home village after an emancipating education in",,,,
L22-0193,30 appearances in a season for the club. [ He]  made a total of 149 appearances for,,,,
L22-0194,"án's Spanish commentary was also available on NES [N] , and baseball fans as far away as the Dominican",,,,
L22-0195," of a million people for at least two decades will [ build]  up a ""valuable picture"" of whether mobile",,,,
L22-0196," centers when they are arrested or in juvenile correctional facilities [ when]  they are adjudicated. This distinction is further complicated,",,,,
L22-0197,zy - This character is a slave on the Live [ Oaks]  plantation in South Carolina who never has a freedom dream,,,,
L22-0198," hostile activity by abigeos against an individual named [ Pedro]  Palomino. The henchman (or """,,,,
L22-0199, They are edible and have high economic value. They [ are]  characterised by the subdivided carpus of the second pere,,,,
L22-0200,", Foggy Nelson, and even one of his [ most]  primary nemeses, Kingpin, also known as",,,,
L22-0201," think larger and bolder and can give boys and men [ a]  fuller understanding of the female experience.
Each March",,,,
L22-0202," Lambiek Comiclopedia page.

193 [0]  births
2019 deaths
Spanish comic",,,,
L22-0203," Terrestrial LIDAR Scanning for Scientific Studies in Grand [ Canyon]  National Park, Arizona – U.S. Geological",,,,
L22-0204," of the family name is believed to be that of [ Heinrich]  Meier of Zurich, Switzerland, which was dated circa",,,,
L22-0205," first opened a 20-seat location on [ Division]  Street, but moved and reopened in 20",,,,
L22-0206," DATA Observation and Ethnography Visual Data: Photography, [ Film] , and Video Using Documents as Data Qualitative Online Research",,,,
L22-0207,". Wagner altered and selected from Gozzi's [ plot] , changing the names of Princess Cherestani and",,,,
L22-0208," also to cultural theories analysing advertisements as texts with elements [ of] intertextuality, polysemy, symbolism and",,,,
L22-0209," American ""Catch-as-Catch-can"" [ Championship]  bout to Evan ""Strangler"" Lewis on ",,,,
L22-0210,"7), daughter of Thomas Goodall, farmer and [ inn] keeper, of Wisbech (now in Cam",,,,
L22-0211, of revolt in Vienna he was summoned to head a [ large]  army that reduced the city through a formal siege by,,,,
L22-0212," on May 6, pitching against the Brooklyn G [rooms]  in Philadelphia's 13th game of",,,,
L22-0213,"u, bassist/vocalist Manfred ""Th [issy] "" Thiers and drummer Reinhard ""Dickie""",,,,
L22-0214,"""99 Problems"", a song by Jay- [Z]  on The Black Album.
""99 Ways",,,,
L22-0215, knee with varus/valgus stability. Injury [ of]  these ligaments usually occurs when the body rotates while the,,,,
L22-0216," deoxidization before casting. This deoxidization [ allows]  a rim, containing mostly iron, to form in",,,,
L22-0217, incomplete software source for version 4.0 was [ sold]  in the late 1990s to,,,,
L22-0218,"
1.1 This standard describes a method for [ measuring]  the density of powder metallurgy products that usually have surface",,,,
L22-0219," state is in “exceptional drought,” the highest drought [ level]  that occurs every 50 to 10",,,,
L22-0220, centrioles in an SGC are found in a [ region]  very close to the cell's nucleus. On,,,,
L22-0221," 1901-built Brinson Methodist [ Church] , its parsonage, and four other houses",,,,
L22-0222," Council of Europe since 2009. [ In]  the Assembly, he has been a member of the",,,,
L22-0223," popular work, and is frequently performed today. It [ regularly]  opens the Tanglewood Festival.

References

",,,,
L22-0224," the Native Americans who were thought to have entered the [ state]  as early as 15,000",,,,
L22-0225,"1929, known as Black Tuesday, [ the]  stock market crashed, catapulting the US into the",,,,
L22-0226," collection appeared in 1956.

 [He]  worked as an editor of the literary magazines ""Sov",,,,
L22-0227, about stereo vision. It’s extremely easy to [ capture]  stereo video as seen from a fixed direction: one,,,,
L22-0228," churn out 4,000 GB of [ data]  per day, as it is equipped with hundreds of",,,,
L22-0229," Mariner, held off the coast of Iceland.

 [In]  1956 Diamond was sent into Port",,,,
L22-0230, the resignation of Jérôme Cahuzac as a result [ of]  a scandal regarding his ownership of secret bank accounts as,,,,
L22-0231, approved cysteamine bitartrate ER (Proc [ys] bi) for the treatment of cystinosis.,,,,
L22-0232,-TV (channel 17) by the [ early]  1980s. WKBS-,,,,
L22-0233, Montreal's Arcade Fire on their Neon Bible world [ tour]  in 2007–200,,,,
L22-0234," though its operations are primarily focused in the provinces of [ Quebec]  and New Brunswick.

Banks by legal classification
",,,,
L22-0235," fat.
What Are The Risk Factors Of Obesity [ On]  COVID?
Extra weight is linked to various chronic",,,,
L22-0236," formerly the Dean of the School of Divinity at Cair [n]  University.

Degrees offered
 Divinity Program with a",,,,
L22-0237,".
A while later, he comes back with [ a]  stack of books. ""Mom, can I write",,,,
L22-0238," Blues historian Jim O'Neal commented in the induction [ statement] , ""'How Long, How Long Blues' was",,,,
L22-0239," as Chief Justice of High Courts of India and Chairperson [ of]  the first Human Rights Commission of Andhra Pradesh.

",,,,
L22-0240," Draper. Dave drives her home, where she reveals [ that]  her presence in the bar was not accidental; it",,,,
L22-0241, Peattie lived with the artist Sir Howard Hodgkin [ until]  Hodgkin's death in March 20,,,,
L22-0242, be lowered after it began to lean. It left [ English]  novelist and social critic Charles Dickens spellbound during a,,,,
L22-0243,". We can’t wait to see what you [ create]  with these prompts in your own homes, kitchen tables",,,,
L22-0244," yet that is what self-interested individuals ended up [ producing] .
Specifically, here is what Menger says",,,,
L22-0245,idget submarine outside the harbor entrance and alerted destroyer USS [ Ward] . Ward was initially unsuccessful in locating the target.,,,,
L22-0246,"77. He started work on a farm in [ River] ton but, having some experience in brick-making",,,,
L22-0247," and the Divine Spirits of the Palo Religion with this [ informative]  essay by Madrina Angelique!
Palo",,,,
L22-0248,"entalers survived and emigrated. Today's spreading [ is]  relatively high in Canada and Serbia.

People ",,,,
L22-0249," activated by air and light. Painted surfaces, like [ do] orknobs, will kill microbes, viruses and",,,,
L22-0250," of relations between harem residents, although these were sometimes [ suppressed] . For example Caliph Musa al-Hadi",,,,
L22-0251,"5 years, his last years as a player. [ In]  the first part of the 2013",,,,
L22-0252," 163 m and width of 2 [2] ,5 m.

See also 
 List",,,,
L22-0253," and India. Other mountains Skreslet has climbed [ in]  his journey were in the North American Rockies, South",,,,
L22-0254," before full responsibility for agriculture was transferred to the Welsh [ Office]  in 1978, Fred Peart",,,,
L22-0255," of the name, formation, and application of each [ of]  the 42 sounds of the alphabet. From",,,,
L22-0256,"provoking.
Any kid with cancer might find "" [The]  Fault in Our Stars"" by John Green both realistic",,,,
L22-0257,"O, was the third Abbot of Mepkin [ Abbey]  until his death on August 27, ",,,,
L22-0258," 1985, but it was later [ revealed]  to be the work of forger Mark Hofmann.",,,,
L22-0259," uses an avatar to predict peoples energy expenditure depending on [ their]  walking style, reports a new study. The findings",,,,
L22-0260," when straight and relaxed. Large specimens can be extremely [ bulky] , with the mass of a specimen of about  ",,,,
L22-0261," add the entire estimated cost of the obligations to the [ proceeds] , preferring to restrict the amount added back to the",,,,
L22-0262,"-designated
These senators were appointed under a constitutional [ provision]  that allowed the number of Quebec senators to temporarily increase",,,,
L22-0263,", including honesty, loyalty, devotedness to the [ nation] , and others. As a rule the political betrayal",,,,
L22-0264,"A slightly modified version was used in . It is [ derived]  from the algebraic notation used for chess, but differs",,,,
L22-0265,"weights in their balance scales.
Today, just [ as]  a dollar is divided into 100 pennies",,,,
L22-0266,"rendash opens up all kinds of avenues for possible [ research] , but research on the health effects of cell phones",,,,
L22-0267, the series and received a 2010 [ Emmy]  Award nomination for Outstanding Writing for a Drama Series for,,,,
L22-0268," he was collated by the Bishop of Ely to [ the]  rectory of Glemsford, Suffolk. He was",,,,
L22-0269,"ic shot putter

Others
Eric Barnes ( [writer] ) (born 1968), American",,,,
L22-0270,? a. bio c. physical b. inorganic [ d] . analytical ____ 2. Which of the following,,,,
L22-0271," chiropractor, Dr. Jarrod Bagley, specializes in [ removing]  subluxations allowing your body to heal and function",,,,
L22-0272," of MS and more basic aspects of how the nervous [ system]  and immune system works, some studies focus specifically on",,,,
L22-0273," in different cells. For example, liver is rich [ in]  phosphorylase kinase and glycogen synthase, enzymes whose reciprocal",,,,
L22-0274," moving average is possible in different ways. It is [ needed]  for multiple reasons. However, it begins with having",,,,
L22-0275," most similar to Perigonia stulta but the [ yellow]  tornal patch is larger.

Adults have",,,,
L22-0276,"I believe this is especially true when talking about avoidance [ and]  Obsessive Compulsive Disorder.
OCD is",,,,
L22-0277," Adhikar Party. In the election swept by [ the]  BJP, the NISHAD party won only the",,,,
L22-0278,"The pathophysiology of COVID-19 is not well [ understood] , even after more than two years; however,",,,,
L22-0279,"-American to endorse Mayor Rudy Giuliani's ultimately [ successful]  re-election campaign.

She died on February",,,,
L22-0280,"VSN-DT
Television channels and stations established [ in]  2009
2009",,,,
L22-0281, other citrus growers successfully lobbied the House Ways and [ Means]  Committee for a one-cent-per-pound,,,,
L22-0282," label ""allopath"" was ""considered highly der [isive]  by regular medicine."" Most modern science-based medical",,,,
L22-0283, the opportunity to study the earth from space. “ [There] ’s so much we can learn about the earth,,,,
L22-0284,<bos>The 1985 Louisville [ Cardinals]  football team represented the University of Louisville in the ,,,,
L22-0285, evidence that he adduced to prove otherwise were certain letters [ written]  by estate agents or valuers. The court held,,,,
L22-0286," Eleazar Kalir is also noteworthy, since he [ maintained]  that the word ""Be-Rabbi"" was",,,,
L22-0287,"okbokki).

Today, variations also include [ curry] -tteokbokki, cream sauce-tte",,,,
L22-0288,"21, 1969) is [ an]  American former rugby union player and current rugby coach and",,,,
L22-0289, released on 30 January 199 [5]  through Nude Records. It is the first single,,,,
L22-0290," were looking for.”
The findings also support the [ theory]  that water ice plays an important role in planet formation",,,,
L22-0291," scale, Versailles clearly wins. But when it comes [ to]  the fountains, Versailles has to cycle through its fountains",,,,
L22-0292," a fertile ground for the evolution of human culture: [ the]  arts, scientific research, and technical innovation. They",,,,
L22-0293, Cortese can also be found in the Lombardy [ region]  of Oltrepò Pavese and in,,,,
