feature_id,source,regime,text_id,token_pos,activation,context,example_id
1827,wikimedia-en,1,6802,130,562.5127563476562,0 matches played between Nepal women and another international side [ after]  1 July 2018 will be,L22-0038
1247,fineweb-edu-sample,1,1985,37,817.7254638671875,"-GO EDITED BY: Mooloo
 [DATE]  ADDED: Jan 20, 2",L22-0039
87,fineweb-edu-sample,0,5972,22,252.31781005859375,"urtles comprise one of the oldest living groups of [ reptiles] , with hundreds of species found throughout the world.",L22-0040
1772,wikimedia-en,0,11578,92,248.82176208496094,"

 All India Radio
 The Aluminum Group
 Lindsay [ Anderson] 
 Astrid Swan
 Axe Riverboy
 Bark Bark",L22-0041
1247,wikimedia-en,1,8698,447,700.7152099609375," best 32. Afterwards, the Junior Pro [ Tour]  was discontinued and Budde was automatically qualified for the",L22-0042
6846,wikimedia-en,0,7275,198,219.29013061523438," in 1991, the second one [ following]  the next year and extending the completed route to just",L22-0043
1827,wikimedia-en,1,7876,95,721.94091796875,"58, under Charles R. Bentley, which [ named]  the mountain for Professor Robert P. Sharp, a",L22-0044
6846,wikimedia-en,0,11759,21,230.4373779296875," full-length non-fiction book, which he [ wrote]  in 1987 after visiting Nicaragua.",L22-0045
1199,fineweb-edu-sample,0,3511,52,279.58941650390625, time and when cubs stay with their mother till adulthood [ at]  about 2 years of age. One young biologist,L22-0046
252,fineweb-edu-sample,1,4028,225,582.587646484375," to have none or just a small percentage of women [ on]  it's force.
Story highlights women make",L22-0047
157,fineweb-edu-sample,1,2800,253,499.05316162109375," the mitochondria.
Good muscular endurance supports you in [ many]  activities in your everyday life. Carrying heavy shopping bags",L22-0048
34492,fineweb-edu-sample,1,5547,451,298.24285888671875, games to ensure that the game is age appropriate. [ ESR] B ratings are displayed for all games in the Google,L22-0049
839,wikimedia-en,0,11484,7,257.17340087890625,<bos>Bragdon-Lipe [ House]  is a historic home located at Canajoharie,L22-0050
2241,fineweb-edu-sample,1,1245,189,536.8362426757812,"on, gathered a . large number of interested students [ and]  started a yeshiva in the (now Belarusian)",L22-0051
129,wikimedia-en,1,9393,95,818.9794921875, and the heavier bodywork reduced performance and made the [ car]  less stable. Möve translates into English as Gull,L22-0052
87,wikimedia-en,1,7862,315,725.6677856445312, athletics and cricket. Association football was only a secondary [ concern] . Since the club was set up to represent England,L22-0053
252,fineweb-edu-sample,0,705,8,206.4046630859375,"<bos>NCI Dictionary of Cancer Terms
 [The]  NCI Dictionary of Cancer Terms features 7,",L22-0054
905,wikimedia-en,0,9889,78,289.98138427734375,listing in the British Army in 193 [9] . After spending five years as a prisoner of war,L22-0055
141,fineweb-edu-sample,0,4935,492,239.29696655273438," few years. 
Parents ought to know what [ CDC]  has to say about recalled vaccines and that their children",L22-0056
1247,wikimedia-en,0,9675,152,293.4292297363281,"Deep Ozon

Deep: clubDeep Ozon [ was]  an event held on July 14, ",L22-0057
129,fineweb-edu-sample,1,5309,246,762.3175048828125," Dealing with China, Paulson is hoping Western readers [ will]  better understand the changes in China, which is still",L22-0058
839,fineweb-edu-sample,0,2964,35,262.7742919921875," quarterly report this week. In it, they expressed [ concern]  about Canada’s debt-to-GDP gap",L22-0059
2193,fineweb-edu-sample,0,2391,99,251.95571899414062,".
Eureka is the largest coastal city between San [ Francisco]  and Portland, and the westernmost city of more",L22-0060
87,fineweb-edu-sample,0,476,45,284.93756103515625, frescoes are so well preserved in part because they were [ hidden]  under a layer of Gothic paintings applied in the late,L22-0061
7122,wikimedia-en,1,8264,44,424.74859619140625," the traditional region of Styria and is now included [ in]  the Drava Statistical Region.

References

External",L22-0062
4714,fineweb-edu-sample,1,4391,176,1102.4771728515625,"DEW-nite). The term peridot comes [ directly]  from the French ""peridot"" which in old",L22-0063
905,wikimedia-en,1,11702,424,738.9171142578125, and Sajur rivers rise from Sof Mountain and flow [ southeast]  to the Euphrates across the plain of Tall Bash,L22-0064
129,fineweb-edu-sample,1,5559,201,708.33056640625,amonti said: “Young people are demanding that [ governments]  take climate change far more seriously. There are many,L22-0065
25249,fineweb-edu-sample,1,483,323,774.3992919921875," the air.
- Continue this pattern of deep [ belly]  breathing for several minutes, focusing on the rise and",L22-0066
6846,fineweb-edu-sample,1,278,16,355.30938720703125, is a fantastic time to be out in the garden [ as]  summer veggies are really flourishing at their best. Unfortunately,L22-0067
1827,fineweb-edu-sample,1,2727,114,484.3375244140625," is, gas masks are an absolute necessity in our [ society] , and they were before coronavirus ever hit the masses",L22-0068
14064,wikimedia-en,1,11703,287,328.8694763183594,"2011)
The Spectacular (2 [0] 21)

Films
Coma (1",L22-0069
252,fineweb-edu-sample,0,3895,448,227.73681640625," THE MONTEREY PENINSULA"". Los Angeles [ Times] . 1987-06-",L22-0070
21515,fineweb-edu-sample,1,367,402,257.36700439453125, above farms and barns can seep through cracks in barn [ roofs] . Farm workers can track it into barns with dirty,L22-0071
129,fineweb-edu-sample,0,5435,21,304.1811218261719," Type 209 submarines has been out of [ service]  for three years, ostensibly for maintenance. But it",L22-0072
2241,wikimedia-en,0,9795,238,235.40753173828125, they have no connection to the Congress of St. [ Louis]  and may not adhere to all of its principles.,L22-0073
6629,fineweb-edu-sample,1,5289,419,422.2005615234375," vaccine industry. There are some different vaccine development methods [ on]  the horizon, however, that will use bacteria that",L22-0074
252,wikimedia-en,1,11747,437,473.54443359375," Vince Neil (Mötley Crüe), major [ label]  A&R people were looking for the next Kurt",L22-0075
129,wikimedia-en,1,9454,148,775.228515625," 640x480 resolution, [ while]  newer ones had up to SVGA resolution. Pro",L22-0076
6629,fineweb-edu-sample,0,5477,51,216.1199493408203," thought.
I have a lot of photos of [ trees] , I thought. I could do a post on",L22-0077
1247,fineweb-edu-sample,0,3141,399,221.8543701171875,"1996), and Creation: From Nothing [ until]  Now"" (Routledge, 20",L22-0078
1827,wikimedia-en,0,8788,95,233.67755126953125,"'s seaside residences. During July and August each [ year] , the population of La Baule increases dramatically with",L22-0079
87,fineweb-edu-sample,0,325,386,273.62872314453125," organisms. As a class, help students name possible [ relationships]  between the organisms. See if they can find one",L22-0080
1247,wikimedia-en,1,8551,31,577.0616455078125," an English footballer who played as a goalkeeper.

 [He]  played schoolboy football in Loughborough for Brush Sports",L22-0081
2241,fineweb-edu-sample,0,1652,463,238.22564697265625," youthful energy into productive pursuits, developing academic skills, [ and]  relieving the pressure on overwhelmed parents. He also points",L22-0082
1247,wikimedia-en,0,11732,461,239.94100952148438, sighting near Shag Rocks and four confirmed sightings— [the]  first two confirmed sightings occurred in 198,L22-0083
4714,fineweb-edu-sample,1,2949,317,709.1632690429688," crystal form, the density and refractive index also slightly [ differ] . The density and refractive index of cubic crystal is",L22-0084
129,fineweb-edu-sample,1,192,404,740.001708984375, then the copper cable systems. Fiber optic communication systems [ are]  installed in large networks of fiber optic bundles all around,L22-0085
839,fineweb-edu-sample,0,506,25,275.993896484375,", for the picture to look more real and authentic [ and]  second, because these papers are thicker than the usual",L22-0086
1284,wikimedia-en,0,10481,458,240.340576171875," an are:

Electrolysis
About four percent [ of]  hydrogen gas produced worldwide is created by electrolysis. The",L22-0087
34492,wikimedia-en,0,6530,370,195.2744598388672,11 as Basel won 4–0 against [ Serv] ette FC. He scored his first two goals for,L22-0088
6629,wikimedia-en,0,9156,29,216.55030822753906," in 1864. His marine career [ began]  at the age of 14, when he",L22-0089
34492,wikimedia-en,1,11759,433,351.2179260253906,""".

Reviews and reception
In the review in [ Time] , reviewer Pico Iyer praised Rushdie's account",L22-0090
4714,fineweb-edu-sample,1,1949,508,935.1968994140625," found many sympathetic ears during the ENDC debates, [ mostly]  from Italy,",L22-0091
141,fineweb-edu-sample,1,2721,407,1031.5703125," all the way to Hong Kong University – a very [ prestigious]  school. While reading the book, you get the",L22-0092
6846,fineweb-edu-sample,1,1254,279,352.5169677734375,", when you’re not sure how you’ [re]  going to get through the next day,” Steiner said",L22-0093
2241,fineweb-edu-sample,0,2016,76,284.7874755859375, will deeply examine the process used by Expeditionary Learning [ to]  design the grades 3-8 ELA Curriculum,L22-0094
4714,wikimedia-en,0,8190,50,209.8894805908203," Montreal film museum

People 
 CQ (play [wright] ) or C. Quintana, a Cuban-American",L22-0095
87,fineweb-edu-sample,0,4100,34,308.39031982421875," concert tickets to go on sale is someone who is [ excited]  and full of energy.
- Anxiously",L22-0096
129,fineweb-edu-sample,1,2454,351,888.3399658203125, to the income poverty. The non-income poverty [ is]  represented mainly by achievements in education and health. The,L22-0097
21515,wikimedia-en,0,11816,284,201.9973602294922," Weekly described it as ""folk-rock laced with [ ban] jos, accordions, and pedal steel"" and",L22-0098
7122,wikimedia-en,0,10455,224,206.245361328125," or converted into a new material that is denser than [ the]  original.

Examples

Nuclear weapons
In an",L22-0099
1827,fineweb-edu-sample,0,3842,419,257.6265869140625," exists and is most common, but the existence of [ the]  former sentence type requires explanation. In reality, we",L22-0100
1284,wikimedia-en,0,6327,233,302.41290283203125," site was not without controversy because of its associations with [ the]  Siege of the Alcázar, an episode in",L22-0101
1284,wikimedia-en,1,10762,189,520.388916015625," Marathi instead. This region is famous for banana agriculture [ and]  is a leading producer of it.

Geography ",L22-0102
4714,fineweb-edu-sample,1,2781,106,566.10400390625,"417 billion snapshots of web sites, including [ one]  page showing that “Igor Girkin, a",L22-0103
839,wikimedia-en,0,6676,6,240.628662109375,"<bos>""The 19 [2] 4 Liverpool West Toxteth by-election was",L22-0104
1284,fineweb-edu-sample,1,5341,170,1274.94189453125," on TV, allows us to predict the weather, [ the]  behavior of the stock market, and the outcome of",L22-0105
7122,wikimedia-en,0,11351,471,183.08139038085938," cavalry action. Besides, it was the place where [ the]  Christian envoys came from who were likely to switch",L22-0106
6629,fineweb-edu-sample,1,5281,431,436.59600830078125,".
As technologies advance and new programming concepts are [ launched] , software architects must be able to keep abreast with",L22-0107
141,fineweb-edu-sample,1,154,326,970.6688232421875,"
These days, artificial intelligence is used fairly widely [ in]  the UK medical industry in order to treat and diagnose",L22-0108
157,fineweb-edu-sample,0,947,249,259.2412109375,28 ft). The area surrounding the falls are [ popular]  with tourists who typically view the falls by boat.,L22-0109
1284,fineweb-edu-sample,0,4219,33,208.85113525390625,", the Kansas chalk rock that inspired our famous chant [ has]  created something else: a seabed of prehistoric marine fossils",L22-0110
1284,wikimedia-en,1,6576,386,559.2967529296875,air story was a report on the new carts that [ transported]  people around the airport. In December 19,L22-0111
4714,wikimedia-en,0,11678,139,194.19093322753906," Account of a visit to the Xe Bang Fai [ cave]  in 2014 
 Account of",L22-0112
1284,wikimedia-en,1,8374,207,738.18701171875," its derivatives include fisheries, marine products, forestry and [ primary]  forestry products"" (Article I, Functions of the",L22-0113
1199,fineweb-edu-sample,1,913,301,578.8877563476562," deceit, pride or sloth, willpower or the lack [ of]  it, conservatism or wastefulness all play a part",L22-0114
6846,fineweb-edu-sample,0,2066,310,232.27828979492188," Analysis Service (part of Public Health England), on [ request]  through the Office for Data Release, November 2",L22-0115
839,fineweb-edu-sample,0,241,47,277.06829833984375," in the infographic below, and share individual story sections [ by]  clicking on the embed icon in the upper right-",L22-0116
2241,fineweb-edu-sample,1,4108,117,542.1664428710938," www.AdaptiveNOW.com) for his hard [ work]  to create this artfully designed documentary series.
",L22-0117
21515,wikimedia-en,1,8835,139,269.1830139160156,"85).

Villages
Apart from the [ town]  of Kałuszyn, Gmina Kał",L22-0118
25249,fineweb-edu-sample,1,3183,172,573.8970947265625, the pollen from a lily or the water in the [ lily] ’s vase can be poisonous for cats. Eating,L22-0119
1247,fineweb-edu-sample,0,1000,56,226.30532836914062, teen birth rate in Indiana declined 64% [ between]  1991 and 201,L22-0120
6629,fineweb-edu-sample,0,410,283,207.2047576904297," archeological material is within the top ten
cent [imeters]  of the soil. The damage from the proposed construction",L22-0121
129,wikimedia-en,0,8822,357,274.4575500488281,", Erycius Puteanus. Intending to [ study]  with Tycho Brahe Wendelen set off for Prague",L22-0122
25249,fineweb-edu-sample,1,5785,380,415.051025390625,"ig (46), starting his experiments as an [ army]  doctor during the Franco-Prussian war, noted",L22-0123
4714,wikimedia-en,0,10347,88,178.93873596191406, one of the few examples of a child star who [ went]  on to have a successful career as an adult.,L22-0124
14064,fineweb-edu-sample,1,5837,442,278.1382141113281," add quick knock-down capabilities. You must carefully [ follow]  the instructions for whatever you purchase.
Pure Form",L22-0125
6629,fineweb-edu-sample,1,2971,130,517.1466674804688," dressings, sprays, creams, catheters, or surface [ coatings] .
As the first product, we developed advanced",L22-0126
1772,wikimedia-en,1,6856,43,914.508544921875, Rhonda Fleming and Lloyd Bridges. Adapted from Ernest Hay [cox] 's 1941 novel Trail Town,L22-0127
4714,wikimedia-en,1,8645,72,698.9451293945312," about 750 boys and girls, the [ majority]  of whom are Catholic but the school is attended by",L22-0128
6846,fineweb-edu-sample,0,4247,301,221.77865600585938," to maintain information on special procedures in a comprehensive and [ easily]  accessible manner, including through the use of modern information",L22-0129
1284,fineweb-edu-sample,1,41,315,1381.0352783203125, astronomical observatories; mountain stations for solar observation; [ and]  stations for optical tracking of artificial earth satellites. Many,L22-0130
1284,wikimedia-en,0,7204,238,231.6748046875,Played Nombuso) was accused of having a [ bad]  attitude at work and was fired from Uzalo.,L22-0131
87,fineweb-edu-sample,0,601,114,268.93072509765625," began a seemingly unstoppable warming trend, which is growing [ steadily]  and which is threatening the existence of all life on",L22-0132
6846,fineweb-edu-sample,1,4405,34,377.17626953125, and the state of Alabama categorizes them as game [ animals]  and fur bearers. Some in the state consider them,L22-0133
6629,fineweb-edu-sample,0,2505,144,222.43382263183594," cutting, and good old fashioned cardboard to go from [ ideas]  to parts as fast as possible.
The class",L22-0134
1772,fineweb-edu-sample,0,5871,42,224.9014129638672," the trained musicians is a compilation of parts of three [ found]  in the Book of Psalms, and its three movements",L22-0135
2193,fineweb-edu-sample,1,4440,14,1120.6697998046875,"ate, worsen, as in Ever since the recession [ began] , the business has been going downhill. The figurative",L22-0136
6903,fineweb-edu-sample,1,381,218,352.36962890625,ivar and miranda took the field beneath the banner [ of]  independence.,L22-0137
141,fineweb-edu-sample,0,4981,301,278.7567443847656," predictors of educational outcomes.
The theory was that [ students]  who are able to stay focused and pay attention longer",L22-0138
4714,fineweb-edu-sample,0,4171,244,230.89796447753906," a lot of water.""
Harnessing wave [ energy]  isn't a new idea. But most efforts",L22-0139
34492,wikimedia-en,0,9688,150,180.9932098388672," precisely match federal ridings, resulting in 2 [7]  fewer seats in the legislature. Notably, in a",L22-0140
6903,wikimedia-en,0,11414,57,226.4786834716797, for its white and African American populations). Usually cultural [ frameworks]  are mixed; as certain individuals or entire groups can,L22-0141
87,wikimedia-en,0,9490,47,326.44622802734375," books. Due to Elias' role in the scriptures [ and]  to many later associated traditions, the name is used",L22-0142
11908,wikimedia-en,0,11056,103,208.47315979003906,"
Boxers at the 1998 [ Asian]  Games
Asian Games bronze medalists for South Korea",L22-0143
2193,wikimedia-en,0,9270,50,215.79977416992188," over 25,000 copies in [ Greece]  and was certified Gold.

Track listing 
",L22-0144
129,fineweb-edu-sample,0,3050,32,225.84072875976562,"-linked Yasukuni Shrine in Tokyo, urging [ Japan]  to face up to historical facts.
""It",L22-0145
11908,wikimedia-en,1,7772,15,369.15020751953125, Badminton Championships is a tournament organized to crown the best [ badminton]  players in Moldova. They are held since 1,L22-0146
11908,fineweb-edu-sample,0,3192,172,214.3915557861328," deep burning fires can be expected with an emphasis on [ down] wind new fires occuring.
The highest spots are",L22-0147
21515,fineweb-edu-sample,1,5732,367,277.9709167480469," have seen positive results using horticultural oils. These oils [ basically]  suffocate the insect. As always, there are",L22-0148
7122,wikimedia-en,1,11801,275,507.1632080078125,"man, Republican incumbent nominee
Bob Springmeyer, [ Democratic]  nominee

Utah
Gubernatorial
20",L22-0149
905,fineweb-edu-sample,1,3154,192,1156.6571044921875," be checked on a regular basis.
Medicines [ used]  most often to
treat schizophrenia include:
-",L22-0150
905,fineweb-edu-sample,1,3318,304,1627.90576171875,".
You don’t have to search for [ hours]  at your university for a book/journal. All",L22-0151
87,wikimedia-en,0,6647,200,239.63934326171875," June 1559 it was destroyed, [ either]  by the Reformers or the magistrates.

Notes",L22-0152
905,fineweb-edu-sample,1,3369,326,588.0894775390625,","" she said, ""and they are cheaper and [ easier]  to have than nuclear weapons.""",L22-0153
6903,fineweb-edu-sample,0,3055,161,253.26402282714844, memory cue for children. It also uses colour- [coding]  to highlight the grapheme when teaching a new grap,L22-0154
2241,fineweb-edu-sample,1,2826,505,808.7548217773438," the Association's deputy director, and contributed greatly [ to]  its activities. The Association'",L22-0155
141,wikimedia-en,0,8243,259,272.8163757324219,"."" Much of her poetry and prose during those times [ is]  dedicated to the life and resistance of Soviet citizens.",L22-0156
905,wikimedia-en,1,8640,63,595.5065307617188," interesting interpretation of the Mission style that incorporates Pueblo Revival [ elements] .""  It was built in 193",L22-0157
6903,wikimedia-en,1,9676,324,410.61279296875," the brand name ""Djuice"", citing the need [ to]  unify all of its brands.

References 

",L22-0158
6903,fineweb-edu-sample,1,3329,439,528.23193359375,"This predicament makes it look as if cannabis preceded the [ psychotic]  symptoms when, in fact...folks with worse",L22-0159
1199,wikimedia-en,0,8529,216,299.6458740234375,", in recent years the lighting has begun sooner to [ accommodate]  the increase in tourism. All recreational parks and all",L22-0160
6629,fineweb-edu-sample,1,1694,414,392.19573974609375,). In order to perform this asana a person [ lies]  down quietly on a flat surface on his/her,L22-0161
21515,fineweb-edu-sample,0,2163,297,204.79087829589844," much like CorningWare cookware, but that is where [ the]  comparison ends. Ceramic materials that go into a Brake",L22-0162
6846,fineweb-edu-sample,1,3550,238,341.0906982421875,s faces leave digital footprints that can be used to [ extract]  intimate information about people and their psycho-demographic,L22-0163
129,wikimedia-en,1,9540,283,699.6658935546875,". However, its underpinnings can be traced [ to]  the mid-19th century, when measures",L22-0164
34492,wikimedia-en,1,6071,287,308.3634033203125," Commission), which consists of:

 The Archb [ishops]  of Canterbury and York (in the event of a",L22-0165
1199,wikimedia-en,1,6117,221,791.1971435546875,istra) by the Mongol allies of Michael VIII. [ In]  the interval a Byzantine force besieged the Bulgarian capital Tarn,L22-0166
87,fineweb-edu-sample,1,714,154,884.2769165039062," the same. Yet we often believe that we are [ different]  enough to discriminate against each other.
Our leaf",L22-0167
34492,fineweb-edu-sample,0,4805,85,184.053955078125,It has long been known that the rock was extracted [ eight]  miles away in Tura and that granite used in,L22-0168
6903,fineweb-edu-sample,0,3490,163,230.31666564941406,"s pigs. This affair settled, Muriwai [ conducted]  Marsden to Utakura, which was then his principal",L22-0169
6903,fineweb-edu-sample,1,3488,249,450.36773681640625, The idea here is that the subtle vibrations associated with [ the]  repeated mantra can encourage positive change — maybe a boost,L22-0170
34492,fineweb-edu-sample,1,4270,155,282.5933532714844," and has since closed a large number of heavily polluting [ small]  coal-fired power plants, small coal mines and",L22-0171
157,wikimedia-en,0,9867,69,270.214599609375," in 76 families.

The villagers are [ engaged]  in animal husbandry, agriculture and horticulture, and its",L22-0172
1199,wikimedia-en,1,10363,107,635.9525146484375,"
 Turnaround, the process of or time needed [ for]  loading, unloading, and servicing an aircraft, see",L22-0173
157,fineweb-edu-sample,0,3362,459,260.820068359375,"efs/STRefs for example).
> [ One]  way to avoid that is for the leaves to refer",L22-0174
141,wikimedia-en,0,10675,263,272.4626159667969,"85 until 1987 before continuing [ his]  research at IRCAM, and since 19",L22-0175
7122,wikimedia-en,1,9287,385,440.7974853515625," move to Oakville, Ontario, to coach at [ the]  Skate Oakville Skating Club with wife, Meagan",L22-0176
6903,wikimedia-en,0,10279,347,239.09950256347656," time of the Achaemenid Persian Empire, [ followed]  successively by the Maurya Empire, the Indo-",L22-0177
14064,fineweb-edu-sample,0,1390,396,193.60768127441406," In Clean New gold Extraction Method
Scientists accidentally discover [ a]  new way to isolate gold that is much safer than",L22-0178
129,fineweb-edu-sample,0,5993,186,205.96041870117188," also help develop devices which have memory and central processing [ units]  merged into a single chip,"" he said.
",L22-0179
839,fineweb-edu-sample,1,4919,11,541.6398315429688,"In some areas, well water might be found very [ deep]  down under the ground. This is especially true in",L22-0180
141,fineweb-edu-sample,1,4069,188,492.7132263183594," to find significance for several hypotheses even with a small [ sample] .
The only significant predictors of attitudes towards the",L22-0181
1827,wikimedia-en,0,8918,243,214.8465576171875," through the Fraser Canyon.

Like many provincial policemen [ of]  the era, Pinchbeck had to fulfill a variety",L22-0182
11908,wikimedia-en,1,9674,305,661.92333984375," Philippines
Dendrolycosa putiana (Barr [ion]  & Litsinger, 1995",L22-0183
1284,fineweb-edu-sample,1,1018,17,663.8209228515625," virtual presentation on Animals of the Night! From bats [ to]  fireflies, frogs and more, learn about the",L22-0184
1827,wikimedia-en,1,6994,86,591.3756713867188," distorted guitars and keyboard sounds.

Composition
Shortly [ before]  the release of Transient Random-Noise Bursts,",L22-0185
6846,fineweb-edu-sample,0,270,34,237.16787719726562," the foremost intellectuals in the Afro-Asian anticol [onial]  movement, was a leader of the Indonesian nationalist movement",L22-0186
1772,fineweb-edu-sample,1,1544,301,522.1090087890625," forget my fate""
The libretto for this [ opera]  is based on:
The Aeneid .",L22-0187
1199,fineweb-edu-sample,0,5322,402,242.16839599609375," marginalised, stigmatised and shunned as a result [ of]  their job. Many have worked on the frontline of",L22-0188
6846,fineweb-edu-sample,0,998,411,237.264404296875, law that is separate from the meaning used in other [ fields] . It is the most common term used in laws,L22-0189
21515,fineweb-edu-sample,1,4502,132,264.821044921875," use specially designed solar filters, which bear the appropriate [ CE]  mark.
It is not safe to view it",L22-0190
6629,fineweb-edu-sample,0,1538,382,200.27870178222656, phenomenon in which neutralizing antibodies against one DENV ser [otype]  can exacerbate disease upon subsequent illness with another serotype,L22-0191
4714,wikimedia-en,1,8456,473,795.0645751953125," Farewell, My Friend) about a girl's [ return]  to her home village after an emancipating education in",L22-0192
2241,wikimedia-en,1,8961,161,612.599365234375,30 appearances in a season for the club. [ He]  made a total of 149 appearances for,L22-0193
21515,wikimedia-en,1,9777,449,368.418701171875,"án's Spanish commentary was also available on NES [N] , and baseball fans as far away as the Dominican",L22-0194
839,fineweb-edu-sample,1,5002,18,628.2080688476562," of a million people for at least two decades will [ build]  up a ""valuable picture"" of whether mobile",L22-0195
1284,fineweb-edu-sample,0,511,217,296.31439208984375," centers when they are arrested or in juvenile correctional facilities [ when]  they are adjudicated. This distinction is further complicated,",L22-0196
141,fineweb-edu-sample,0,5756,99,257.6100158691406,zy - This character is a slave on the Live [ Oaks]  plantation in South Carolina who never has a freedom dream,L22-0197
